DISTRITO FEDERAL;Brasília;788,064;656,265;Cooperativa;APCORC - ASSOCIAÇÃO PRE-COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESIDUOS SÓLIDOS DE CEILÂNDIA - DF;-
DISTRITO FEDERAL;Brasília;802,118;668,002;Cooperativa;CATAGUAR - ASSOCIACAO DOS CATADORES DE PAPEL PAPELAO E MATERIAIS RECICLAVEIS DO GUARA;-
DISTRITO FEDERAL;Brasília;818,126;656,437;Cooperativa;CONSTRUIR - COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL;-
DISTRITO FEDERAL;Brasília;789,157;663,425;Cooperativa;COOPERATIVA RENOVE - COOPERATIVA DE TRABALHO RENOVE DE RESIDUOS SOLIDOS DE BRASILIA(CTRRSB);-
DISTRITO FEDERAL;Brasília;792,631;667,214;Cooperativa;COOPERE - COOPERATIVA DE TRABALHO DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL;-
DISTRITO FEDERAL;Brasília;817,078;665,728;Cooperativa;COOPERNÓES - COOPERATIVA DE TRABALHO DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERAÇA;-
DISTRITO FEDERAL;Brasília;790,872;649,938;Cooperativa;PLASFERRO - COOPERATIVA DE RECICLAGEM AMBIENTAL;-
DISTRITO FEDERAL;Brasília;808,704;667,214;Cooperativa;RECICLA BRASÍLIA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL;-
ESPIRITO SANTO;Vitória;1021,202;799,574;Cooperativa;AMARIV - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DA ILHA DE VITORIA;-
ESPIRITO SANTO;Vitória;1036,851;796,883;Cooperativa;ASCAMARE ES - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE VITÓRIA;-
ESPIRITO SANTO;Viana;1022,356;786,376;Cooperativa;ASCAMAVI - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE VIANA;-
ESPIRITO SANTO;Serra;1030,393;804,239;Cooperativa;RECUPERLIXO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS E ECONOMIA SOLIDARIA DO MUNICÍPIO DA SERRA;-
ESPIRITO SANTO;Vila Velha;1036,639;785,269;Cooperativa;REVIVE - ASSOCIAÇÃO VILA VELHENSE DE COLETORES E COLETORAS DE MATERIAIS RECICLÁVEIS;-
MINAS GERAIS;Lavras;891,877;830,221;Cooperativa;ACAMAR LAVRAS - ASSOCIACAO DOS CATADORES DE MATERIAIS RECICLAVEIS DE LAVRAS;-
MINAS GERAIS;Sarzedo;915,424;830,221;Cooperativa;ACAMARES - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DE SARZEDO;-
MINAS GERAIS;Itajubá;875,296;867,952;Cooperativa;ACARI - ASSOCIACAO DE CATADORES AUTONOMOS DE RECICLAGEM ITAJUBENSE;-
MINAS GERAIS;Ouro Preto;929,183;803,249;Cooperativa;ACMAR - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECLÁVEIS DE RANCHARIA;-
MINAS GERAIS;Uberlândia;779,947;754,516;Cooperativa;ACOPPPMAR - ASSOCIAÇAO DE COLETORES DE PLASTICO , PET ,PVC E OUTROS MATERIAIS RECICLAVEIS;-
MINAS GERAIS;Uberlândia;806,932;746,104;Cooperativa;ACRU - ASSOCIAÇÃO DE CATADORES E RECICLADORES DE UBERLÂNDIA;-
MINAS GERAIS;Arcos;872,33;802,353;Cooperativa;ARA - ASSOCIAÇÃO DE RECICLADORES ARCOENSES;-
MINAS GERAIS;Uberlândia;787,315;757,733;Cooperativa;ARBE - ASSOCIAÇÃO DOS RECICLADORES BOA ESPERANÇA;-
MINAS GERAIS;Uberlândia;815,152;752,979;Cooperativa;ARCA - ASSOCIAÇÃO DE RECICLADORES E CATADORES E  AUTÔNOMOS;-
MINAS GERAIS;Santa Barbara;945,142;785,447;Cooperativa;AREMPAT - ASSOCIAÇÃO DE RECICLAGEM MULHERES PADRE TROMBET;-
MINAS GERAIS;Unaí;840,153;678,564;Cooperativa;AREUNA - ASSOCIAÇÃO RECICLA UNAÍ;-
MINAS GERAIS;Bocaiúva;922,974;700,598;Cooperativa;ASCABOC - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE BOCAIÚVA;-
MINAS GERAIS;Janaúba;937,758;661,63;Cooperativa;ASCAJ - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS UNIDOS POR JANAÚBA;-
MINAS GERAIS;Lagoa da Prata;867,26;790,165;Cooperativa;ASCALP - ASSOCIACAO DE CATADORES DE PAPEL, PAPELAO E MATERIAIS REAPROVEITAVEIS DE LAGOA DA PRATA;-
MINAS GERAIS;Conceição do Mato Dentro;934,541;756,769;Cooperativa;ASCAMATO - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE CMD;-
MINAS GERAIS;Nova Lima;961,052;799,245;Cooperativa;ASCAP - ASSOCIAÇÃO DOS CATADORES DE PAPÉIS E MATERIAIS RECICLÁVEL DE NOVA LIMA;-
MINAS GERAIS;Betim;907,388;801,146;Cooperativa;ASCAPEL - ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS REAPROVEITAVEIS DE BETIM;-
